,cresci_2015__on__cresci_2015,cresci_2015__on__cresci_2017,cresci_2015__on__twibot_2020,cresci_2015__on__twibot_2022,cresci_2017__on__cresci_2015,cresci_2017__on__cresci_2017,cresci_2017__on__twibot_2020,cresci_2017__on__twibot_2022,twibot_2020__on__cresci_2015,twibot_2020__on__cresci_2017,twibot_2020__on__twibot_2020,twibot_2020__on__twibot_2022,twibot_2022__on__cresci_2015,twibot_2022__on__cresci_2017,twibot_2022__on__twibot_2020,twibot_2022__on__twibot_2022
verified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.026211138562598,-4.078087849703579,0.0,0.0,-12.998167638642668,-9.247594771934224
graph_neighbor_avg_ff_ratio,5.293465215715082,5.62628512297951,5.942300293169944,6.030482015766417,1.6719477666563203,0.8527084235176484,1.147171372881487,1.1170431397130305,0.024067293031525862,0.017402436271187968,0.12739523753156914,0.10480824105395614,0.015045005104332437,0.01486862227055789,0.01493568312300765,0.014014222110303247
log1p_statuses,2.217962139684095,3.142089248293091,3.1942207908490348,2.4528798482624645,-2.4977515184890824,-2.5145748840287614,-2.5582179918767447,-2.561493357823506,0.06774717407524322,0.06726731326407126,-0.4071238463801377,-0.2813714379252707,-0.2638012524194508,-0.2633244143125894,-0.2614169882197672,-0.22908681558635383
graph_reciprocity_ratio,4.932685511003891,5.067746121648141,5.048555244614932,5.261113678629077,0.12396682452591921,0.47525854594388417,0.18731845692315974,0.2466741411169569,0.08622385039570257,0.08501240296164543,-0.033259894074146125,0.07729933969816329,-0.0533346389871468,-0.0552805610615303,-0.05525177692361752,-0.0597952874056615
has_tweet_data,-0.02511137942463088,-0.05325582117985392,-0.11320054916370315,-0.018604541407322144,3.4668460928609384,4.844589522894275,4.618928272878692,5.154107890381553,0.08660368113202148,0.08694119292162839,0.131112830160117,0.11952432531323527,-0.07854921469064899,-0.07594164593126727,-0.07547187688078445,-0.11320528691064417
graph_in_degree,1.1695807844433637,0.6881832227199682,0.7240116382066164,0.6360318167218428,2.7285931240784764,3.2945199782868713,3.3084148239565403,3.2252368379747662,0.14093803098351992,0.14415414740570287,-0.006804691791393558,0.03811530462105263,-0.3280267780045466,-0.3338876930861226,-0.28304762351839974,-0.34297846701374035
graph_out_degree,-2.0007311941953567,-3.5599615329752163,-3.6894107872274553,-3.2132107262262344,-0.3620202659626562,-0.27057995706243027,-0.2684328941873285,-0.23582009742777305,-0.09989747993366392,-0.10508767820396733,-0.12786518284535983,-0.10913189006752876,0.0703185423009435,0.06675448740090818,0.069789415398819,0.09681184163453617
log1p_listed,-0.6724953073933426,-0.8018046738055861,-0.7001824841628971,-0.8576488471604448,1.839386731206618,2.01374197718258,1.910081389332856,1.915665626510951,-0.5432393395267235,-0.5533754790931407,0.31041433330459517,0.3201441229416762,-0.2558146475371926,-0.2552910162481834,-0.2074846691816848,-0.15002619993580835
log1p_followers,-0.3634747006049729,-0.4699549995008932,-0.4313738937661947,-0.3736645256850116,-1.6346715185363834,-1.4468281391549462,-1.6449753925140957,-1.6502893294822971,-0.9108913818565179,-0.90148454112992,-0.3279643303789183,-0.3788701264492546,-0.485194398509815,-0.4863562023766581,-0.4178616291697079,-0.44637110164891075
friends_per_day,1.674730870277162,2.428803582206286,2.659556735078821,2.23824532271008,0.04064354511569143,-1.2428072689165248,0.03766578587392324,0.0387003826148228,0.028177800915213807,0.02813358414000683,-0.24471621442343916,-0.1082949731017524,0.2587745506856117,0.2577767974061241,0.29172789187665504,0.4775896281906471
