,cresci_2015__on__cresci_2015,cresci_2015__on__cresci_2017,cresci_2015__on__twibot_2020,cresci_2015__on__twibot_2022,cresci_2017__on__cresci_2015,cresci_2017__on__cresci_2017,cresci_2017__on__twibot_2020,cresci_2017__on__twibot_2022,twibot_2020__on__cresci_2015,twibot_2020__on__cresci_2017,twibot_2020__on__twibot_2020,twibot_2020__on__twibot_2022,twibot_2022__on__cresci_2015,twibot_2022__on__cresci_2017,twibot_2022__on__twibot_2020,twibot_2022__on__twibot_2022
verified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.059719979817757,-4.086357606402268,0.0,0.0,-14.488041150110947,-11.92609352694228
graph_neighbor_avg_ff_ratio,6.46435015119841,6.21076589822589,6.493823632342193,6.694861743879969,1.8078983132124034,0.4083306346039857,1.230733829775322,1.456403175040476,0.0066006005397240925,0.0,0.095843062331899,0.08216096733776253,0.014730437178552448,0.015046343726312375,0.014899970871495853,0.013894018598165475
log1p_statuses,2.3983766232494728,3.537095033081909,3.6295824049531182,2.201413492479765,-2.4858513623542127,-2.500160830315446,-2.549399926586572,-2.5525577198860834,0.06570110098006224,0.06479009858055491,-0.38128491669807124,-0.26301253934874347,-0.2631487663408393,-0.2629846892586044,-0.2625059595579676,-0.23221506606075049
graph_reciprocity_ratio,5.282996626238022,5.3859772983986085,5.349138889521704,5.656873249094159,0.08276555162764238,0.12022569807268613,0.15086235303797885,0.15479708205805068,0.06333476091586256,0.06423992280952018,-0.03243813554663634,0.036671103449531485,-0.053307108828691045,-0.054594118260389984,-0.054546592161511656,-0.060472507342782575
has_tweet_data,-0.09804043211827727,-0.08746839140181045,-0.1352428942701083,-0.08637925316986818,3.482231623608462,4.964103874599171,4.761238644380331,5.271141675833938,0.08654751037994084,0.08699458362219015,0.13007438744897978,0.12057206853388183,-0.07772576393223966,-0.07496805910902321,-0.07472791919490497,-0.1163671124020037
graph_in_degree,0.19621732436392253,0.0,0.0,0.0,3.454261580145756,4.745295246930889,4.3107105475963134,4.1276295664202785,0.16300002354414825,0.16151068817622954,0.0,0.03801966443314069,-0.36623015424536454,-0.3703025092161449,-0.3369375462162427,-0.3803039872514394
log1p_listed,-0.726117947555728,-0.8624690815565004,-0.7679323688740366,-0.9157880241315327,1.828887337085365,1.987706921471809,1.8937818480402038,1.9017383554061058,-0.5432295385390375,-0.5472246891573219,0.3075812723155116,0.310884916746336,-0.2557506513077991,-0.2554624272148307,-0.21021995773746333,-0.15328626482324229
graph_out_degree,-1.4377768948050815,-3.4748517866344866,-3.6998352989447243,-2.9896153012431714,-0.344248225890326,-0.18384283872162044,-0.2044275980549312,-0.2859411323736303,-0.08200529197794867,-0.0844661139870469,-0.0746966509159762,-0.14456387750339528,0.0,0.0,0.005889007476156127,0.022145098087166696
log1p_followers,-0.08243987957614302,-0.419026543634654,-0.388214099045098,-0.2900229747073785,-1.6133576287029083,-1.3782171780466745,-1.590390179992999,-1.6153965546752522,-0.9091690360135908,-0.9032909105099002,-0.31862795019153334,-0.3852307429010269,-0.485751919981619,-0.4865143711288397,-0.4166071164964621,-0.445569279023973
friends_per_day,1.1325976972669611,2.5361831810967654,2.770573903713339,2.3054809202078768,0.03900605554604908,-1.069327872650799,0.035572234191050836,0.038469801691983364,0.0263811171237439,0.026259064037352953,-0.1342039683567277,-0.09257890067701972,0.25870383351735354,0.2586278538592611,0.2932566890331727,0.4721721711157119
avg_urls,-1.14293999860127,-1.1171916804778483,-0.9796658783407467,-1.113807223966771,-0.6175722588009744,-0.8659883711657207,-0.8231183978196842,-0.9325868486534,0.4479081160155601,0.4477717073811191,0.6023006159083572,0.5992326834465429,0.07865751847762843,0.0789036047219188,0.061539409415000974,0.06761676556395647
graph_component_size,0.0,0.0,0.0,0.0,0.0,-2.9071290440115765,-2.670666186625238,-2.6818165290399714,0.0,0.04614662233100575,0.10890116319849476,0.07510841592401495,0.0,-0.03261776798029944,-0.013442917204947395,-0.01557379962993134
statuses_per_day,-0.05504400357482376,-0.3958430868145884,-0.4567461089666938,-0.21358154409299068,0.24263262076640085,1.8774398433245747,0.2816487845115331,0.29266304419805267,0.09732410281857946,0.09889431364622048,0.6171775417292549,0.16405358528056185,-0.9471947874207342,-0.9474489249317624,-1.0856501940873007,-0.21253267605030657
graph_neighbor_avg_in_degree,0.0,0.0,0.0,0.0,2.262767594667417,0.877586348331003,1.4045680010259,1.1122530929938534,-0.13546761957873749,-0.1033266844911934,-0.048122018481429135,-0.14848001839612782,-0.7317997421194898,-0.18322593578060303,-0.32196920042022364,-0.3788512641949005
log1p_friends,-0.6502704335588961,-0.8356714762774149,-0.8620039160273945,-0.8574436892651589,0.3503274034815933,0.13153919341437065,0.14362948113799107,0.1262983093929146,0.4672369212823462,0.4665985304465692,0.3427318042387662,0.3516498313134159,-0.20776039375274183,-0.20787747899130918,-0.23466168721130912,-0.23096932521943953
log1p_tweet_count,0.0,-1.5261038169292946,-1.6199110596252098,-0.1489214844354837,-1.0216957641149356,0.0,-0.352519800670667,-0.5990967896425349,0.11804573216016431,0.11764797673542383,0.19766719249926015,0.1900184460256828,0.04880076061616181,0.04186888465408334,0.04437816900127108,0.11878014739872945
